from,to,support,relation,start,end,time
weber,fiehler,99,7,99,99,9
himmler,weber,99,7,99,99,9
weber,himmler,99,7,99,99,9
schreck,hess,99,7,99,99,9
hess,schreck,99,7,99,99,9
himmler,putsch,99,6,1923,1923,2
himmler,muenchen,99,6,1900,99,1
goering,krieg,99,6,1914,1918,1
goering,putsch,99,6,1923,1923,2
goering,muenchen,99,6,1922,1923,2
goering,himmler,99,7,99,99,9
himmler,goering,99,7,99,99,9
himmler,goebbels,99,7,99,99,9
goebbels,himmler,99,7,99,99,9
goebbels,muenchen,99,6,99,99,9
goebbels,ludendorff,99,7,99,99,9
ludendorff,goebbels,99,7,99,99,9
scheubnerrichter,muenchen,99,6,1907,1914,1
scheubnerrichter,krieg,99,6,1914,1917,1
scheubnerrichter,putsch,99,6,1923,1923,2
scheubnerrichter,ludendorff,99,7,99,99,9
ludendorff,scheubnerrichter,99,7,99,99,9
scheubnerrichter,goering,99,7,99,99,9
goering,scheubnerrichter,99,7,99,99,9
goering,heydrich,99,7,99,99,9
heydrich,goering,99,7,99,99,9
goering,thyssen,99,7,99,99,9
thyssen,goering,99,7,99,99,9
goering,schacht,99,7,99,99,9
schacht,goering,99,7,99,99,9
aust,muenchen,99,6,1892,99,1
luedecke,muenchen,99,6,1922,1929,2
luedecke,goering,99,7,99,99,9
goering,luedecke,99,7,99,99,9
luedecke,wagner,99,7,99,99,9
wagner,luedecke,99,7,99,99,9
roehm,luedecke,99,7,99,99,9
luedecke,roehm,99,7,99,99,9
poehner,frick,99,7,99,99,9
frick,poehner,99,7,99,99,9
poehner,lehmann,99,7,99,99,9
lehmann,poehner,99,7,99,99,9
poehner,streicher,99,7,99,99,9
streicher,poehner,99,7,99,99,9
poehner,hess,99,7,99,99,9
hess,poehner,99,7,99,99,9
goebbels,poehner,99,7,99,99,9
poehner,goebbels,99,7,99,99,9
brueckner,schaub,99,7,99,99,9
schaub,brueckner,99,7,99,99,9
schwarz,schaub,99,1,99,99,9
schaub,schwarz,99,1,99,99,9
roehm,hess,99,7,1919,1934,1
hess,roehm,99,7,1919,1934,1
ludendorff,hess,99,7,99,99,9
hess,ludendorff,99,7,99,99,9
epp,hess,99,7,99,99,9
hess,epp,99,7,99,99,9
eckart,hess,99,7,99,99,9
hess,eckart,99,7,99,99,9
rosenberg,hess,99,7,99,99,9
hess,rosenberg,99,7,99,99,9
esser,hess,99,7,99,99,9
hess,esser,99,7,99,99,9
frank,hess,99,7,99,99,9
hess,frank,99,7,99,99,9
lehmann,boepple,99,7,99,99,9
boepple,lehmann,99,7,99,99,9
himmler,lehmann,99,7,99,99,9
lehmann,himmler,99,7,99,99,9
hoffmann,sesselmann,99,7,99,99,9
sesselmann,hoffmann,99,7,99,99,9
ludendorff,biskupski,99,7,1920,1937,1
biskupski,ludendorff,99,7,1920,1937,1
scheubnerrichter,biskupski,99,7,1920,1923,1
biskupski,scheubnerrichter,99,7,1920,1923,1
ludendorff,bohlen,99,7,99,99,9
bohlen,ludendorff,99,7,99,99,9
amann,feverlag,99,7,99,99,9
feverlag,amann,99,7,99,99,9
hess,eisernefaust,99,6,1919,99,1
hess,freikorpsepp,99,6,1919,99,1
hess,thule,99,6,1919,99,1
lehmann,thule,99,6,99,99,9
sesselmann,thule,99,6,1918,99,1
weber,dap,99,6,1920,99,1
weber,freikorpsepp,99,6,1919,99,1
sesselmann,dap,99,6,1919,99,1
graf,dap,99,6,1919,99,1
poehner,dnvp,99,6,1924,1925,4
lehmann,dnvp,99,6,1919,1920,1
lehmann,schutztrutz,99,6,1920,99,1
lehmann,vbewegung,99,6,99,99,9
lehmann,alldtverband,99,6,99,99,9
poehner,vbb,99,6,1924,1924,3
sesselmann,vbb,99,6,1924,1928,2
sesselmann,vbeobachter,99,6,1919,1920,1
scheubnerrichter,aufbauv,99,6,1920,1923,2
rosenberg,aufbauv,99,6,99,99,9
biskupski,aufbauv,99,6,1920,1923,1
rosenberg,dap,99,6,1919,99,1
schreck,freikorpsepp,99,6,99,99,9
poehner,alldtverband,99,6,99,99,9
poehner,thule,99,6,99,99,9
hess,himmler,99,7,99,99,9
himmler,hess,99,7,99,99,9
scheubnerrichter,thyssen,99,7,99,99,9
rosenberg,vbeobachter,99,6,1921,1939,2
eckart,vbeobachter,99,6,1921,1923,2
